Bolagsid;Kollektivavtal;Postkod;Ort;Telnmr;JuridiskForm;SNI;Start_Ar;Bransch;Genomnsnittlig_lön_exkl_pension;Genomsnittlig_lön_Inkl. Pension_TSEK;Total_lön;antalanstallda_UC;Omsättning_SEK;Resultat
165;0;14503;Norsborg;08-53194000;49;28990;1971;Tillverkning & Industri;524036;338,8;43495000;158;340055000;28321
166;0;89441;Överhörnäs;0660-73100;49;28920;1971;Tillverkning & Industri;667023;1021,49;28682000;43;564532000;58270
167;0;25111;Helsingborg;;49;46731;1971;Partihandel;857153;1429,96;22286000;26;2770768000;-2705
168;0;60105;Norrköping;011-219200;49;45201;1971;Reparation & Installation;420195;622,65;38658000;92;357901000;12901
169;0;33591;Gnosjö;0370-305422;49;25620;1971;Tillverkning & Industri;346000;523,14;15224000;44;74131000;6350
170;0;30243;Halmstad;035-152650;49;46360;1971;Partihandel;446032;697,9;13827000;31;309749000;3185
171;0;46138;Trollhättan;0520-477100;49;13960;1971;Tillverkning & Industri;407885;683,23;14276000;30;59117000;21
172;0;22660;Lund;046-329700;49;22290;1971;Tillverkning & Industri;500458;862,68;12011000;22;100926000;11234
173;0;25227;Helsingborg;042-199850;49;28290;1971;Tillverkning & Industri;348558;520,35;11851000;37;156746000;8564
174;0;12653;Hägersten;08-7265500;49;43222;1971;Bygg-, Design- & Inredningsverksamhet;488777;728,14;17596000;36;143419000;8847
175;0;51493;Ambjörnarp;0325-618030;49;25930;1971;Tillverkning & Industri;332166;523,5;9965000;28;52194000;790
176;0;46580;Nossebro;0512-300300;49;27320;1971;Tillverkning & Industri;471457;685,95;82505000;175;1756004000;25101
177;0;29150;Kristianstad;044-207800;49;45110;1971;Motorfordonshandel;381300;681,92;19065000;50;213616000;4209
178;0;89380;Bjästa;;49;18121;1971;Tillverkning & Industri;341392;494,64;9559000;33;41450000;16
179;0;12162;Johanneshov;08-50575800;49;10130;1971;Livsmedelsframställning;366703;543,73;29703000;81;500962000;17523
180;0;28323;Osby;0479-17500;49;29102;1971;Tillverkning & Industri;461136;699,11;20290000;57;108638000;-4664
181;0;12724;Skärholmen;08-7408630;49;10710;1971;Livsmedelsframställning;537484;753,68;52136000;98;224790000;14842
182;0;57323;Tranås;0140-385100;49;62020;1971;Data, IT & Telekommunikation;383552;599,33;14575000;30;43118000;-1584
183;0;26144;Landskrona;0418-401000;49;46492;1971;Partihandel;401361;618,03;14449000;36;82240000;14412
184;0;24491;Kävlinge;046-238830;49;10611;1971;Livsmedelsframställning;469194;694,78;16891000;36;379385000;42814
185;0;89123;Örnsköldsvik;0660-295100;49;10710;1971;;336378;481,69;12446000;39;100080000;-5973
186;0;33333;Smålandsstenar;0371-31035;49;25110;1971;Tillverkning & Industri;406285;607,82;11376000;28;213555000;18161
187;0;57178;Forserum;070-2076670;49;25620;1971;Tillverkning & Industri;161370;528,06;4357000;34;76850000;9653
188;0;42102;Västra Frölunda;031-3489800;49;46620;1971;Partihandel;763522;1132,75;33595000;44;339537000;11142
189;0;18236;Danderyd;08-6229200;49;45202;1971;Reparation & Installation;424766;595,36;25486000;61;110625000;7961
190;0;43284;Varberg;0340-595400;49;47772;1971;Detaljhandel;370348;507,57;238875000;645;1123348000;53396
191;0;28903;Broby;;49;22290;1971;Tillverkning & Industri;379600;499,32;11388000;38;53877000;-1446
192;0;79122;Falun;;49;28120;1971;Tillverkning & Industri;387161;670,85;24004000;62;159851000;24719
193;0;57229;Oskarshamn;0491-761500;49;45110;1971;Motorfordonshandel;407666;570,05;15899000;39;231832000;-131
194;0;74585;Enköping;0171-478450;49;46460;1971;Partihandel;362953;526,47;15607000;43;502717000;174867
195;0;26221;Ängelholm;0431-442525;49;45110;1971;Motorfordonshandel;424777;617,15;11469000;27;148267000;2006
196;0;50330;Borås;033-290190;49;69201;1971;Juridik, Ekonomi & Konsulttjänster;465812;703,19;7453000;108;430389000;8660
197;0;35007;Växjö;0470-701400;49;28290;1971;Tillverkning & Industri;399357;616,09;39137000;98;148849000;17968
198;0;54125;Skövde;0500-477500;49;28120;1971;Tillverkning & Industri;407869;595,15;149688000;367;588450000;54954
199;0;46324;Lilla Edet;0520-494090;49;45110;1971;Motorfordonshandel;365292;535;23744000;65;441943000;11386
200;0;64525;Strängnäs;0152-22900;49;45310;1971;Partihandel;346854;525,11;64168000;185;1171320000;32408
201;0;70203;Örebro;019-305600;49;29320;1971;Tillverkning & Industri;397000;581,04;20247000;51;123501000;8893
202;0;33423;Anderstorp;0371-587100;49;22290;1971;Tillverkning & Industri;364098;542,16;18569000;51;136849000;-697
203;0;73231;Arboga;0589-85770;49;43221;1971;Bygg-, Design- & Inredningsverksamhet;341750;493,62;10936000;46;62001000;5055
204;0;12118;Johanneshov;08-55668030;49;10112;1971;Livsmedelsframställning;337105;477,82;19215000;182;818837000;9773
205;0;33123;Värnamo;0370-690970;49;25940;1971;Tillverkning & Industri;383928;611,48;21500000;56;152230000;34487
206;0;16212;Vällingby;08-870250;49;25930;1971;Tillverkning & Industri;415538;648,64;16206000;39;135077000;42684
207;0;82624;Söderhamn;0270-429450;49;45201;1971;Reparation & Installation;374937;520,97;5999000;32;48516000;4223
208;0;16429;Kista;08-7036800;49;26110;1971;Tillverkning & Industri;644055;1017,08;23186000;36;43614000;-24203
209;0;17562;Järfälla;08-56470700;49;46699;1971;Partihandel;544238;772,19;11429000;21;146831000;18731
210;0;19205;Sollentuna;026-71710;49;25300;1971;Tillverkning & Industri;689444;1;12410000;18;72456000;13494
211;0;89129;Örnsköldsvik;0660-265530;49;43911;1971;Bygg-, Design- & Inredningsverksamhet;355880;649,71;8897000;17;43211000;3240
212;0;16493;Kista;08-6325000;49;46750;1971;Partihandel;672162;1024,47;28903000;43;203089000;-6559
213;0;56631;Habo;010-1022550;49;25620;1971;Tillverkning & Industri;416320;592,33;31224000;75;125179000;-7091
214;0;23222;Arlöv;020-555999;49;46741;1971;Partihandel;539792;808,62;218616000;405;1480857000;59784
215;0;50117;Borås;033-151103;49;32990;1971;Tillverkning & Industri;436718;623,22;13975000;32;42185000;-957
216;0;59895;Vimmerby;0492-28895;49;16101;1971;Tillverkning & Industri;410680;597;19302000;47;180964000;7520
217;0;26221;Ängelholm;;49;15120;1971;Tillverkning & Industri;361750;555,9;7235000;20;27371000;1808
218;0;24192;Eslöv;0413-541210;49;27110;1971;Tillverkning & Industri;352550;497,6;7051000;20;36398000;5787
219;0;51455;Ljungsarp;0321-533350;49;29320;1971;Tillverkning & Industri;404823;604,1;20646000;51;145862000;6253
220;0;55302;Jönköping;036-173180;49;68201;1971;Fastighetsverksamhet;445000;661,12;22695000;51;190666000;29623
221;0;57453;Holsbybrunn;0383-246000;49;24440;1971;Tillverkning & Industri;320070;453,93;27206000;85;152580000;10908
222;0;82412;Hudiksvall;0650-15340;49;46630;1971;Partihandel;442533;672,17;33190000;75;377415000;86544
